                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.9557,                0.86073,                0.98564,                0.96587,                0.93922,                0.96478,                 0.3588,                 2.1083,                0.84339,                 1.0034,             0.00073154,             0.00073154,             0.00073154
                     72,                 1.9415,                0.84971,                0.98541,                0.96683,                0.93436,                0.96737,                0.36798,                 2.0817,                  0.823,                0.99553,             0.00072604,             0.00072604,             0.00072604
                     73,                 1.9409,                0.84453,                0.97943,                0.96753,                0.93203,                0.96266,                0.37736,                 2.0434,                0.82034,                0.99406,             0.00072054,             0.00072054,             0.00072054
                     74,                 1.9461,                0.85534,                0.97475,                0.97139,                0.93843,                0.96801,                0.37093,                 2.0651,                 0.8261,                0.99358,             0.00071504,             0.00071504,             0.00071504
                     75,                 1.9438,                0.84941,                0.98501,                0.97182,                0.94589,                0.97026,                0.37635,                 2.0476,                0.83071,                0.99038,             0.00070954,             0.00070954,             0.00070954
                     76,                 1.9452,                0.86497,                0.98085,                0.96428,                0.93721,                0.96357,                0.36406,                 2.0905,                 0.8356,                  0.998,             0.00070404,             0.00070404,             0.00070404
                     77,                 1.9512,                 0.8576,                0.98077,                0.96875,                0.93621,                0.96023,                0.36691,                 2.0573,                0.82891,                0.99898,             0.00069854,             0.00069854,             0.00069854
                     78,                 1.9421,                0.84813,                0.97779,                0.96077,                0.94295,                0.97023,                0.37046,                 2.0842,                 0.8236,                0.99836,             0.00069304,             0.00069304,             0.00069304
                     79,                 1.9198,                0.83503,                0.97908,                0.96791,                0.93325,                0.96448,                0.37995,                 2.0395,                0.82837,                0.98796,             0.00068754,             0.00068754,             0.00068754
                     80,                 1.9279,                 0.8484,                0.98035,                0.96139,                0.93282,                0.96279,                0.38074,                 2.0326,                0.82029,                0.99074,             0.00068204,             0.00068204,             0.00068204
                     81,                  1.926,                0.84396,                0.97474,                 0.9674,                0.92797,                0.96325,                0.37015,                 2.0754,                0.82353,                0.99218,             0.00067654,             0.00067654,             0.00067654
                     82,                 1.9349,                0.84193,                0.98011,                0.96901,                0.93771,                0.97121,                0.37334,                 2.0781,                0.83296,                0.99662,             0.00067104,             0.00067104,             0.00067104
                     83,                 1.9304,                0.84125,                0.97645,                0.96604,                0.93963,                0.96561,                0.37736,                 2.0743,                0.81762,                0.99647,             0.00066554,             0.00066554,             0.00066554
                     84,                 1.9252,                0.83503,                 0.9821,                0.95382,                0.93419,                0.96461,                0.37385,                 2.0535,                0.82585,                0.99334,             0.00066005,             0.00066005,             0.00066005
